The course of maturation of rod-mediated visual thresholds in infants.	To measure the developmental course of infants' rod-mediated thresholds.
Pattern electrical stimulation of the human retina.	Experiments were conducted to study if electrical stimulation of the retinal surface can elicit visual sensation in individuals blind from end-stage retinitis pigmentosa (RP) or age-related macular degeneration (AMD). Under local anesthesia, different stimulating electrodes were inserted through the eyewall and positioned over the surface of the retina. Subjects' psychophysical responses to electrical stimulation were recorded. Subjects perceived simple forms in response to pattern electrical stimulation of the retina. A non-flickering perception was created with stimulating frequencies between 40 and 50 Hz. The stimulation threshold was dependent on the targeted retinal area (macular versus extramacular).
Variation in the evoked ventricular potentials after the implantation of an endocardiac catheter; the correlation with stimulation thresholds]	The drop in T wave amplitude of the ventricular pace-evoked response (VER) is a well-recognized and reliable mean of detecting localized conditions of myocardial hypoxia. In patients who undergo pacemaker implantation, the post-implant change at the electrode-tissue interface consists of an early inflammatory reaction. The aim of this study was to establish whether the extent of the inflammatory reaction following an endocardial lead can be assessed by the changes in the T wave amplitude of VER.
The study of jaw reflexes evoked by electrical stimulation of the lip: the importance of stimulus intensity and polarity.	The aim of this study was to investigate whether reported differences in the patterns of jaw reflexes which can be evoked by electrical stimulation of the lip might be related to the intensity or polarity of the stimuli. Constant-current stimuli were applied through bipolar electrodes clipped across the lower lip of 14 subjects while EMG recordings were made from a masseter muscle. During stimulation, the subjects sustained a level of masseter activity equivalent to 10% of their maximum. The stimuli were applied as multiples of sensory threshold. The EMGs were analysed following rectification, averaging and smoothing. A sequence of inhibitory, excitatory, inhibitory and excitatory responses could be produced in the muscle by both polarities of stimuli. The latencies of these four responses were generally in the ranges 10-20, 25-40, 40-55 and 80-100 ms, respectively. These latencies, particularly for the last two responses, tended to decrease at higher intensities of stimulation. The threshold for the long-latency inhibition was significantly lower than that for the short-latency inhibition when the cathode was outside the mouth but not when it was inside the mouth. In addition, the long-latency excitation had the lowest threshold of the four responses regardless of stimulus polarity. Since nerves are excited particularly around a cathode, we interpret these results as showing that stimulation of nerves supplying the skin outside the mouth evokes predominately long-latency jaw reflexes whereas shorter latency responses can be evoked by stimulating nerves supplying oral mucosa. Furthermore, long latency excitatory reflexes seem to be the most easily evoked by stimulation of the lip.
Distributions of sensory spots in the hand and two-point discrimination thresholds in the hand, face and mouth in dental students.	Densities of pressure, pain and temperature spots in the back of the hand in 551 students and two-point discrimination thresholds in the hand, the face and the mouth in 684 students were measured. The mean numbers of pressure, pain, warm and cold spots in the back of the hand were 24.7/cm2, 130.5/cm2, 3.4/cm2 and 9.1/cm2, respectively. The mean thresholds of two-point discrimination were 1.7 mm in the tip of the tongue, 2.4 mm in the upper lip, 5.5 mm in the lower jaw, 7.5 mm in the palm, 8.8 mm in the forehead, and 11.8 mm in the back of the hand. There were mostly no differences between males and females in the values of sensory spots and two-point discrimination thresholds.
Olfactory discrimination ability for homologous series of aliphatic alcohols and aldehydes.	We tested the ability of human subjects to distinguish between members of homologous series of aliphatic alcohols (ethanol to n-octanol) and aldehydes (n-butanal to n-decanal). In a forced-choice triangular test procedure 20 subjects per series were repeatedly presented with all 21 binary combinations of the seven stimuli and asked to identify the bottle containing the odd stimulus. We found (i) that as a group, the subjects performed significantly above chance level in all tasks but two with the alcohols and all tasks but four with the aldehydes, and thus were clearly able to discriminate between most of the odor pairs presented; (ii) marked interindividual differences in discrimination performance, ranging from subjects who were able to significantly distinguish between all 21 odor pairs of a series to subjects who failed to do so with the majority of tasks; and (iii) a significant negative correlation between discrimination performance and structural similarity of odorants in terms of differences in carbon chain length for both homologous series. This suggests that carbon chain length may be one of presumably several determinants of the interaction between stimulus molecule and receptor, and thus may be a molecular property affecting odor quality of aliphatic alcohols and aldehydes.
Reproducibility of BOLD-based functional MRI obtained at 4 T.	The reproducibility of activation patterns in the whole brain obtained by functional magnetic resonance imaging (fMRI) experiments at 4 Tesla was studied with a simple finger-opposition task. Six subjects performed three runs in one session, and each run was analyzed separately with the t-test as a univariate method and Fisher's linear discriminant analysis as a multivariate method. Detrending with a first- and third-order polynomial as well as logarithmic transformation as preprocessing steps for the t-test were tested for their impact on reproducibility. Reproducibility across the whole brain was studied by using scatter plots of statistical values and calculating the correlation coefficient between pairs of activation maps. In order to compare reproducibility of "activated" voxels across runs, subjects and models, 2% of all voxels in the brain with the highest statistical values were classified as activated. The analysis of reproducible activated voxels was performed for the whole brain and within regions of interest. We found considerable variability in reproducibility across subjects, regions of interest, and analysis methods. The t-test on the linear detrended data yielded better reproducibility than Fisher's linear discriminant analysis, and therefore seems to be a robust although conservative method. Preliminary data indicate that these modeling results may be reversed by preprocessing to reduce respiratory and cardiac physiological noise effects. The reproducibility of both the position and number of activated voxels in the sensorimotor cortex was highest, while that of the supplementary motor area was much lower, with reproducibility of the cerebellum falling in between the other two areas.
Quality of vision with presbyopic contact lens correction: subjective and light sensitivity rating.	To quantify the quality of vision achieved with multifocal and bifocal contact lenses.
Confidence and accuracy of near-threshold discrimination responses.	This article reports four subliminal perception experiments using the relationship between confidence and accuracy to assess awareness. Subjects discriminated among stimuli and indicated their confidence in each discrimination response. Subjects were classified as being aware of the stimuli if their confidence judgments predicted accuracy and as being unaware if they did not. In the first experiment, confidence predicted accuracy even at stimulus durations so brief that subjects claimed to be performing at chance. This finding indicates that subjects's claims that they are "just guessing" should not be accepted as sufficient evidence that they are completely unaware of the stimuli. Experiments 2-4 tested directly for subliminal perception by comparing the minimum exposure duration needed for better than chance discrimination performance against the minimum needed for confidence to predict accuracy. The latter durations were slightly but significantly longer, suggesting that under certain circumstances people can make perceptual discriminations even though the information that was used to make those discriminations is not consciously available.
Sensory and multisensory responses in the newborn monkey superior colliculus.	Superior colliculus (SC) neurons have the ability to synthesize information from different sensory modalities, resulting in enhancements (or depressions) of their activity. This physiological capacity is, in turn, closely tied to changes in overt attentive and orientation responses. The present study shows that, in contrast to more altricial species, many deep layer SC neurons in the rhesus monkey are multisensory at birth. Such neurons can respond to stimuli from different sensory modalities, and all convergence patterns seen in the adult are represented. Nevertheless, these neurons cannot yet synthesize their multisensory inputs. Rather, they respond to combinations of cross-modal stimuli much like they respond to their individual modality-specific components. This immature property of multisensory neurons is in contrast to many of the surprisingly sophisticated modality-specific response properties of these neurons and of their modality-specific neighbors. Thus, although deep SC neurons in the newborn have longer latencies and larger receptive fields than their adult counterparts, they are already highly active and are distributed in the typical adult admixture of visual, auditory, somatosensory, and multisensory neurons. Furthermore, the receptive fields of these neurons are already ordered into well organized topographic maps, and the different receptive fields of the same multisensory neurons show a good degree of cross-modal spatial register. These data, coupled with those from cat, suggest that the capacity to synthesize multisensory information does not simply appear in SC neurons at a prescribed maturational stage but rather develops only after substantial experience with cross-modal cues.
Clinical validation of new pacing-sensing configurations for atrial automatic capture verification in pacemakers.	This study evaluated an atrial automatic capture verification scheme based on atrial evoked response (AER). Atrial pacing was between Atip and Can (Atip-Can) using different coupling capacitances (CCs). Independent pairs of sensing electrodes between Aring and Vtip (Aring-Vtip) or between Aring and a separate indifferent electrode (Aring-Indiff) were used to reduce pacing-induced afterpotentials.
