Mortality study of 18 000 patients treated with omeprazole.	The long term safety of potent gastric acid suppressive therapy has yet to be established.
Treatment of gastric hemorrhage by pulverized omeprazole and antacid--concomitant administration via a nasogastric tube.	Gastroesophageal reflux (GER) is a common episode in pediatric patients with severe motor and intellectual disabilities (SMID) and occasionally leads to a severe clinical state accompanied with nausea, hematemesis, melena, wheezing, pneumonia, anemia and/or failure to thrive. We report here a case of a 14-year-old male with Lennox syndrome who had been treated with a histamine H2 blocker intravenously or via a nasogastric tube for repeated gastric hemorrhage due to severe GER. Since his gastric hemorrhage became resistant to the H2 blocker, we decided to replace it with a proton pump inhibitor (PPI). Although lansoprazole can be decapsulated for administration via a nasogastric tube, it tends to block fine tubes. The acid-sensitive drug omeprazole, another oral PPI, is commercially available as enteric-coated tablets. Therefore, we pulverized the tablets and administered omeprazole, mixed with a small amount of antacid, via a nasogastric tube. The patient's gastric hemorrhage was dramatically improved. Thus, administration of pulverized omeprazole concomitantly with antacid via a fine nasogastric tube may provide a novel approach for the treatment of chronic GER in pediatric patients with SMID.
Epinephrine protects against severe acute gastric bleeding in rats: role of nitric oxide and glutathione.	The aim of this study was to examine the effect of the systemic administration of epinephrine against severe acute gastric bleeding in rats. Epinephrine decreased gastric hemorrhage not only before but also after lipopolysaccharide-induced severe acute gastric bleeding. Epinephrine ameliorated severe gastric hemorrhage and decreased gastric mucosal lipid peroxidation through alpha- and beta-adrenoceptors. Epinephrine modulated alpha-adrenoceptors to increase the levels of gastric mucosal nitric oxide and glutathione. Nitric oxide synthase inhibitors potently reversed the effects of epinephrine on gastric mucosal glutathione. Thus, epinephrine might act through alpha-adrenoceptors to increase the levels of gastric mucosal nitric oxide and glutathione and thus protect against severe acute gastric bleeding in rats.
Erythromycin therapy for gastroparesis.	Gastroparesis from numerous causes has been treated with a number of prokinetic agents. We report the successful use of erythromycin as a prokinetic agent in the treatment of two cases of idiopathic gastroparesis in which treatment with metoclopramide or domperidone or both had failed. We also review information about erythromycin's mechanism of action, previous therapeutic uses, administration (doses, duration, and route), and role as an alternative to other prokinetic agents. When treatment with other agents is unsuccessful, erythromycin is a viable alternative therapy for gastroparesis.
Neuroleptic malignant syndrome induced by domperidone.	A 47-year-old woman with diabetic gastroparesis, on treatment with domperidone, a dopamine-receptor antagonist, was admitted to the hospital in coma, with high blood pressure and nonreactive pupils. She then developed high fever. Her condition progressively worsened for two days, when muscle rigidity was noted and creatine phosphokinase was greater than 2000 U/liter. A diagnosis of neuroleptic malignant syndrome was made, and the patient was given dantrolene with prompt and complete resolution of all signs and symptoms. Subsequent inquiry revealed a distant past history of positive muscle biopsy for malignant hyperthermia, obtained after the diagnosis had been made in a family member. This case suggests that domperidone may induce neuroleptic malignant syndrome and that patients with malignant hyperthermia are at increased risk for this complication.
Gastroprotective effect and cytotoxicity of terpenes from the Paraguayan crude drug "yagua rova" (Jatropha isabelli).	A new jatrophone derivative (6), jatrophone (3), jatropholone A (4) and jatropholone B (5), acetyl aleuritolic acid (1), cyperenoic acid (2) and a monoterpene were isolated from the rhizomes of the Paraguayan crude drug Jatropha isabelli. The compounds were characterized by spectroscopic means. The gastroprotective effect of jatrophone, jatropholone A and B as well as 9beta,13alpha-dihydroxyisabellione 6 and the triterpene 1 was assessed in the HCl/EtOH-induced gastric lesions model in mice. Jatrophone elicited a strong gastroprotective effect with no significant differences between 25, 50 or 100 mg/kg and reducing lesions from 88 to 93%. The jatropholones A and B showed remarkable differences in the gastroprotective assay. Jatropholone A presented a dose-related response, with maximum effect (54% lesion reduction) at the highest dose (100 mg/kg), jatropholone B showed a strong action at all the doses, reducing lesions by 83-91%. The cytotoxicity of the compounds was assessed towards fibroblasts and AGS cells. Jatrophone was toxic against both cell lines (IC50 values: 2.8 and 2.5 microM, respectively). Jatropholone B (5) was not cytotoxic while jatropholone A (4) displayed a selective effect against AGS cells (IC50: 49 microM). The relevance of stereochemistry in the biological effects is clear comparing the effect of jatropholone A and B against AGS cells, with IC50 values of 49 and > 1000 microM for the beta and alpha C-16 isomers, respectively. The results provide scientific support for the use of "yagua rova" as a gastroprotective crude drug in Paraguayan traditional medicine.
Treatment of deficiency of spleen energy with zhenqi fuzheng chongji and its effect on Zn, Cu and Mg in serum]	This article reports that there is a good response, with an effective rate of 96.2% in the treatment of the deficiency of Spleen energy (DSE) with Zhenqi Fuzheng Chongji (ZQFZCJ). The serous level of ZQFZCJ and the serum concentrations of Zn, Cu and Mg in 53 patients with DSE and in 83 normal subjects were measured with atomic absorption spectrometric analysis. In contrast to the normal subjects, the concentrations of Zn and Mg were decreased and that of Cu and the ratio of Cu/Zn increased in the patients before treatment (P greater than 0.01-0.05). After treatment, however, the concentrations of Zn and Mg became increased (P less than 0.001, P less than 0.05), and the ratio of Cu/Zn decreased (P less than 0.001). The authors conclude that there is some relationship between these three elements and DSE, and the mechanism for the treatment of DSE with ZQFZCJ. ZQFZCJ, rich in trace elements, may provide trace elements for the body, improve the metabolism, transportation and utilization of the trace elements in the body, and activate various enzymes, thus regulating and maintaining the homeostasis, i.e. "supporting in deficient patients".
Gastric syphilis: a systematic review of published cases of the last 50 years.	The authors conducted a systematic review of the English literature for cases of Gastric Syphilis (GS) in the last 50 years. The 34 studies which met selection criteria included 52 patients with GS. Of the reviewed patients, only 13% had a history of syphilis diagnosis and 46% had prior or concurrent clinical manifestations of the disease. Epigastric pain/fullness was the most common presenting symptom (92%) and epigastric tenderness being the most common sign. Gastric bleeding of variable intensity was documented in 35% of the cases. In the radiologic examinations, fibrotic narrowing and rigidity of the gastric wall was the most common finding (43%), followed by hypertrophic and irregular folds, while in endoscopy the most common lesion types were multiple ulcerations (48%), nodular mucosa, and erosions. The antrum was the most commonly affected area (56%). The majority of the patients received penicillin (83%) with a rapid resolution of their symptoms. Seventeen percent of the patients were treated surgically either due to a complication or due to strong suspicion of infiltrating tumor or lymphoma. The nonspecific clinical, radiologic, and pathologic characteristics of GS can establish it as a great imitator of other gastric diseases. GS should be considered in the differential diagnosis in patients at risk for sexually transmitted diseases who present with abdominal complaints and unusual endoscopic lesions and no other diagnosis is made, irrespective of the presence of H. pylori. The absence of primary or secondary luetic lesions should not deter one from considering GS.
Intestinal pseudoobstruction secondary to amyloidosis responsive to cisapride.	A case of chronic intestinal pseudoobstruction secondary to systemic amyloidosis in a patient with multiple myeloma is described. Gastrointestinal symptoms and indices of nutrition improved markedly after commencing treatment with cisapride, which may have been responsible for relatively prolonged survival compared with similar reported cases.
Medicinal plants of Otwal and Ngai Sub Counties in Oyam district, Northern Uganda.	An ethnobotanical study was carried out in four parishes in the Ngai and Otwal Sub Counties in Oyam district, Northern Uganda, where insurgency has been prevalent for the past 20 years. Documenting medicinal plant species used in treating various health conditions among the local people.
Antiperistaltic effect and safety of L-menthol sprayed on the gastric mucosa for upper GI endoscopy: a phase III, multicenter, randomized, double-blind, placebo-controlled study.	GI peristalsis during GI endoscopy commonly requires intravenous or intramuscular injection of antispasmodic agents, which sometimes cause unexpected adverse reactions.
