Blast injury from explosive munitions.	To evaluate the effect of blast in common war injuries.
Mechanisms involved in the antiplatelet activity of rutin, a glycoside of the flavonol quercetin, in human platelets.	The aim of this study was to systematically examine the inhibitory mechanisms of rutin, a well-known flavonoid in platelet aggregation. In this study, rutin concentration-dependently (250 and 290 microM) inhibited platelet aggregation in human platelets stimulated by agonists (i.e., collagen). Rutin (250 and 290 microM) did not significantly interfere with the binding of FITC-triflavin to the glycoprotein IIb/IIIa complex in human platelets. Rutin (250 and 290 microM) markedly inhibited intracellular Ca(2+) mobilization and thromboxane A(2) formation in human platelets stimulated by collagen. Rapid phosphorylation of a platelet protein of M(r) 47000 (P47), a marker of protein kinase C activation, was triggered by collagen (1 microg/mL). This phosphorylation was markedly inhibited by rutin (250 and 290 microM). On the other hand, rutin (250 and 290 microM) did not significantly increase the formations of cyclic AMP and nitric oxide/cyclic GMP in platelets. In conclusion, these results indicate that the antiplatelet activity of rutin may involve the following pathways: rutin inhibited the activation of phospholipase C, followed by inhibition of protein kinase C activity and thromboxane A(2) formation, thereby leading to inhibition of the phosphorylation of P47 and intracellular Ca(2+) mobilization, finally resulting in inhibition of platelet aggregation.
Putative mechanism of hypotensive action of platelet-activating factor in dogs.	We examined the mechanism(s) of hypotensive action of platelet-activating factor (PAF) in anesthetized dogs. PAF (0.5 micrograms/kg i.v.) caused a biphasic hypotension; the first phase was transient and was accompanied by a decrease in systemic vascular resistance and an increase in cardiac output. Aspirin-DL-lysine, a cyclooxygenase inhibitor, had no effect on this phase. The second phase was characterized by a sustained hypotension caused by a reduction in cardiac output and was accompanied by an increase in systemic and pulmonary vascular resistance. The plasma concentrations of 6-ketoprostaglandin F1 alpha and thromboxane B2 also increased. These changes were markedly attenuated by aspirin. Both atrial pressures decreased during the second phase, thereby indicating that the PAF-induced reduction in cardiac output was related to a hindrance in venous return. The hematocrit increased, and aspirin did not affect this change. The extravasation of plasma probably plays a minor role, whereas venodilation would be the primary mechanism of the second-phase hypotension. S-1452, a prostaglandin H2/thromboxane A2 antagonist, abolished the PAF-induced pulmonary vasoconstriction but did not block the hypotensive action of PAF. OKY-046, a thromboxane A2 synthetase inhibitor, almost completely abolished the PAF-induced pulmonary vasoconstriction and the increase in plasma thromboxane B2 level, whereas it potentiated the hypotension and the increase in the plasma concentrations of prostaglandins; aspirin abolished this potentiation. These results suggest that PAF causes hypotension by two different mechanisms: 1) dilatation of resistance vessels independent of prostaglandins and 2) reduction of venous return due to venodilation, as mediated by prostaglandin(s).
Thromboxane/prostacyclin balance in type II diabetes: gliclazide effects.	We studied serum thromboxane (TXB2), the prostacyclin metabolite, 6-keto-PGF1 (6KPGF1) glucose, insulin, and lipid/lipoprotein profiles in 27 patients with non-insulin-dependent diabetes mellitus (NIDDM) who were switched from therapy with glibenclamide (GLB) (with [GLBH] or without phenformin) to gliclazide for 3 months. We found that therapy with gliclazide was followed by a decrease in serum TXB2 (281.8 +/- 128.3 to 149.1 +/- 77.0 mg/L, P less than .001) and an increase in serum 6KPGF1 (60.5 +/- 19.1 to 96.0 +/- 40.3 mg/L, P less than .001). This was accompanied by a decrease in total and low-density lipoprotein (LDL) cholesterol and an increase in high-density lipoprotein (HDL) cholesterol, within the HDL3 cholesterol fraction. These changes were seen despite the fact that neither fasting plasma glucose nor insulin changed with therapy. These findings suggest that gliclazide may have beneficial actions on cardiovascular risk factors in these NIDDM patients.
Hydrogen peroxide triggers activation of human platelets selectively exposed to nonaggregating concentrations of arachidonic acid and collagen.	The effects of H2O2 on platelet function were investigated in vitro and ex vivo. H2O2 (0.5 to 5 mumol/L) alone did not influence platelet function, but when it was combined with subthreshold concentrations of arachidonic acid or collagen, it induced platelet aggregation and serotonin release in a dose-dependent fashion. The increase in platelet aggregation was associated with thromboxane A2 production and was prevented by 100 mumol/L aspirin. The amplification of platelet response by H2O2 was also inhibited 2 hours after 300 mg aspirin was given to healthy subjects. H2O2 alone did not affect intraplatelet Ca++ influx or mobilization but, combined with subthreshold concentrations of arachidonic acid, it increased Ca++ mobilization. In platelets prelabeled with tritiated arachidonic acid, H2O2 induced tritium release in a dose-dependent fashion; this effect was prevented by mepacrine, an inhibitor of the phospholipase A2 enzyme. Platelet function was not affected by using H2O2 in combination with other agonists such as thrombin, calcium ionophore, or adenosine diphosphate. This study suggests that H2O2 triggers activation of platelets preexposed to agonists at subthreshold levels by stimulating arachidonic acid metabolism, likely by stimulating the phospholipase A2 enzyme. The stimulation of platelets by concentrations of H2O2 similar to those released by activated leukocytes may give new insights into the functional cooperation between leukocytes and platelets.
Platelet function in acute experimental pancreatitis induced by ischaemia-reperfusion.	Ischaemia-reperfusion (IR)-associated microcirculatory changes play a major role in acute post-transplantation pancreatitis. The pathophysiological role of platelets in these events is unknown. The aim of this study was to examine platelet adhesion and function during early reperfusion after pancreatic ischaemia.
Thromboxane and prostacyclin production in ponies with colonic volvulus.	Effects of 1 hour of colonic volvulus and 3 hours of reperfusion on concentrations of thromboxane (TXB2) and prostacyclin (6-keto-PGF1 alpha) in portal, pulmonary arterial, and jugular blood were determined by radioimmunoassay to assess the site of production and clearance of these eicosanoids from the circulation in 5 anesthetized ponies. Colonic volvulus had no significant effect on mean arterial pressure or TXB2 concentrations, but significantly (P less than 0.05) increased 6-keto-PGF1 alpha concentrations in all blood samples. Immediately after colonic reperfusion, all eicosanoid concentrations were significantly (P less than 0.05) increased. Then, TXB2 returned to baseline values, whereas 6-keto-PGF1 alpha concentrations remained significantly (P less than 0.05) high for the remainder of the study. Eicosanoid concentrations were significantly (P less than 0.05) greater in portal blood than in pulmonary arterial and jugular blood samples at all periods. This suggests that the splanchnic circulation is the primary site of eicosanoid production during and after colonic volvulus and the liver appears to provide most of the circulatory clearance of thromboxane and prostacyclin.
Role of PPAR-gamma on the pathogenesis and vascular changes in glycerol-induced acute renal failure.	Peroxisome proliferator activated receptor-gamma (PPAR-gamma), a nuclear transcription factor, modulates angiotensin II (AII) or thromboxane A(2) (TxA(2)) response in the vasculature via transcriptional regulation of their gene or receptor expression. Increased AII or TxA(2) vasoconstriction and deteriorating renal function observed in glycerol-induced acute renal failure (ARF) may be attributed to a down-regulated PPAR-gamma expression/activity probably via an increased free radical generation. In this study, we investigated the effect of PPAR-gamma induction in glycerol-induced ARF by examining renal vascular reactivity to AII and TxA(2) and by renal expression/activity of PPAR-gamma. Vascular responses to AII or U46619, a TxA(2) mimetic were determined in rat isolated perfused kidney following induction of ARF with glycerol (50%, v/v, i.m.). Extent of renal damage and function were assessed with or without pre-treatment with ciglitazone (9 nmol kg(-1) x 21 days), a PPAR-gamma inducer. In ARF, vasoconstriction was enhanced to AII (three-fold; p<0.05) and U46619 (82%; p<0.05). Ciglitazone reduced AII and U46619 vasoconstriction by 59+/-1% (p<0.05) and 56+/-1% (p<0.05), respectively. Ciglitazone reduced proteinuria (38+/-3%) which was two-fold higher in ARF. Similarly, ciglitazone enhanced Na(+) excretion by 1.5 times while reducing BUN by 49+/-6%. On the contrary, ciglitazone did not change plasma creatinine which was significantly higher in ARF rats. Ciglitazone reduced free radical generation by 30+/-3% while elevating nitrite excretion approximately 2-fold. PPAR-gamma expression and activity were significantly lower in ARF rats and ciglitazone enhanced PPAR-gamma protein expression and activity by 45+/-3% and 52+/-4%, respectively. Data from this study suggest that reduced PPAR-gamma expression and activity may be involved in the pathology of glycerol-induced ARF and induction of PPAR-gamma by ciglitazone confers protection through reduced AII and TxA(2) vasoconstriction and/or enhanced renal function via reducing free radical generation.
Effects of high-dose aprotinin on blood loss, platelet function, fibrinolysis, complement, and renal function after cardiopulmonary bypass.	The use of aprotinin to reduce blood loss after cardiopulmonary bypass is under debate. Concern has been raised about the renal effects of aprotinin. We administered a mean aprotinin dose of 4.2 x 10(6) kallikrein-inhibiting units to 13 patients with coronary disease undergoing cardiopulmonary bypass for 74 +/- 5 minutes (mean +/- standard error of the mean); 13 comparable patients having cardiopulmonary bypass served as control subjects, and all were studied postoperatively for 24 hours. Aprotinin reduced postoperative blood loss by 50% (p = 0.0082). Two of the 13 patients who received aprotinin needed one red cell unit each versus a total of 18 units in eight of 13 control patients (p = 0.0096). Blood pressure, hemoglobin value and serum protein concentration were higher after operation in the aprotinin group (p less than 0.05 to p less than 0.01). Platelet counts did not differ, but plasma thromboxane was lower in aprotinin recipients (p less than 0.001). In control patients fibrinogen degradation products (D dimer) doubled, and alpha 2-antiplasmin activity was halved during and after cardiopulmonary bypass (p less than 0.01 to p less than 0.001), whereas aprotinin patients showed no changes. The complement breakdown products C4a, C3a, and C3dg as well as C9 neoantigen increased from prebypass baseline in both groups (p less than 0.001); the increment of C3a and C3dg was greater in the aprotinin than in the control patients (p less than 0.001). Serum electrolytes, osmolality, and creatinine remained normal in both groups of patients. Creatinine clearance was normal or above normal and virtually identical in both groups. Osmolar clearance and fractional sodium excretion were higher in the aprotinin group than in the control group shortly after cardiopulmonary bypass (p less than 0.05 to p less than 0.01); renal function was unremarkable the next morning. No adverse clinical effects attributable to aprotinin were seen. In summary, aprotinin offers advantages for cardiopulmonary bypass.
Partial inhibition of platelet thromboxane A2 synthesis by aspirin is associated with myonecrosis in patients with ST-segment elevation myocardial infarction.	Heterogeneity in response to aspirin (ASA) treatment, or "aspirin resistance," could be of importance in patients with ST-segment elevation myocardial infarction (STEMI). Decreased effects of ASA in platelets could be due to partial inhibition of cyclo-oxygenase-1 (COX-1) or to COX-1-independent mechanisms. We evaluated the effect of ASA treatment in patients with STEMI for (1) platelet thromboxane A(2) (TXA(2)) synthesis, (2) platelet recruitment elicited by TXA(2)-dependent and -independent mechanisms, and (3) a possible association of these aspects of platelet reactivity with serum markers of myonecrosis. We studied 62 ASA-treated patients within 48 hours of onset of the acute event and 69 ASA-free and 10 ASA-treated controls. TXA(2) synthesis and platelet recruitment (fluid-phase proaggregate activity of cell-free releasate) were assessed after collagen stimulation (1 micro g/ml) of whole blood. Partial inhibition of TXA(2) by ASA was found in 21 patients (34%). This was associated with significant increases in troponin T, creatine kinase-MB mass, creatine kinase, and recruiting activity versus 41 patients with blocked TXA(2) production. This was independent of fibrinolysis, and platelet COX-2 expression was not augmented. TXA(2) blockade was achieved after subsequent daily treatments or platelet incubation with ASA in vitro, suggesting lower sensitivity of COX-1 to ASA. In addition, 28 patients (45%) had an abnormally increased recruiting activity despite TXA(2) blockade, which was also associated with increased myonecrosis. In conclusion, ASA resistance, elicited by TXA(2)-dependent and TXA(2)-independent mechanisms, was prevalent in patients with STEMI. This study describes, for the first time, the association of partial platelet TXA(2) inhibition with myonecrosis.
Platelet function in acute experimental pancreatitis.	Acute pancreatitis (AP) is characterized by disturbances of pancreatic microcirculation. It remains unclear whether platelets contribute to these perfusion disturbances. The aim of our study was to investigate platelet activation and function in experimental AP. Acute pancreatitis was induced in rats: (1) control (n=18; Ringer's solution), (2) mild AP (n=18; cerulein), and (3) severe AP (n=18; glycodeoxycholic acid (GDOC)+cerulein). After 12 h, intravital microscopy was performed. Rhodamine-stained platelets were used to investigate velocity and endothelial adhesion in capillaries and venules. In addition, erythrocyte velocity and leukocyte adhesion were evaluated. Serum amylase, thromboxane A2, and histology were evaluated after 24 h in additional animals of each group. Results showed that 24 h after cerulein application, histology exhibited a mild AP, whereas GDOC induced severe necrotizing AP. Intravital microscopy showed significantly more platelet-endothelium interaction, reduced erythrocyte velocity, and increased leukocyte adherence in animals with AP compared to control animals. Thromboxane levels were significantly elevated in all AP animals and correlated with the extent of platelet activation and severity of AP. In conclusion, platelet activation plays an important role in acute, especially necrotizing, pancreatitis. Mainly temporary platelet-endothelium interaction is observed during mild AP, whereas severe AP is characterized by firm adhesion with consecutive coagulatory activation and perfusion failure.
